,NAME,income 75K-end,S0601_C01_046E.1,income 50-65K,Health Support,Architectural engineering,Community and Social,Life/Social/Physical science,income 10-15K,Production Occupation,income 15-25K,Fire Fighting,income 65-75K,Construcation & Extraction,income 35-50K,educational attainment,income 25-35K,Transportation,income 0-10K,Computer engineer/science,Sales,Health Technical,Personal care and service,median income,Management income,Health Diagnosing,Busineess Finance Operations,Computer and Math,Office Administrative,"Installation, maintenance, repair",Education,Material Moving,"Arts,sports,design",Building/Grounds Maintenance,"Farming, fishing, forestry",Law Enforcement,Legal,Food Service,state,county,Unnamed: 40
320,"Middlesex County, Massachusetts",23.4,23.4,9.6,25968,86081,42769,65898,6.1,35565,10.3,38466,5,46855,10.9,27.4,9.3,30728,14.2,85462,38762,42976,17374,50410,87022,76643,67382,92577,35858,46521,46568,17420,47064,25996,11226,69247,101091,15961,25,17,
321,"Norfolk County, Massachusetts",25.1,25.1,9.8,31541,86761,41613,72327,6.6,38979,9.8,27138,4.7,52237,10.9,28,8.9,31641,14.3,81598,50088,41143,17363,51437,92625,82174,72924,82012,37690,49935,42406,17456,48072,16548,15162,100623,84445,13901,25,21,
322,"Plymouth County, Massachusetts",17,17,9.7,25045,63125,47307,31258,8.1,43379,12.3,61766,4.4,46636,12.4,23.3,10.1,40618,15.8,76035,36032,37082,16185,41345,80338,71789,61405,86892,35664,49372,57457,17345,37679,20119,62059,85840,122048,11521,25,23,
323,"Suffolk County, Massachusetts",15,15,8.9,26841,70141,39951,52161,8.8,32341,10.8,30135,4.1,32410,11,27.2,9.9,32138,19.7,65597,23387,47628,20662,40112,72135,66465,64079,71799,33456,50201,39495,26284,48772,20148,12165,60297,90901,21538,25,25,
324,"Worcester County, Massachusetts",15.4,15.4,9.3,25125,83992,41758,62813,8.4,36386,12.8,31875,4.2,40597,11.5,20,10.3,37283,15.8,81919,30802,41762,19103,40759,80772,70579,65940,86213,34947,47276,42825,21316,41615,29980,20313,70842,81648,16284,25,27,
325,"Allegan County, Michigan",7.4,7.4,10.6,21463,71437,40698,48552,8.7,36353,16.3,35858,3,47346,14,14.1,11.8,43033,15.8,62364,21941,32002,15576,33926,61254,44236,58397,61786,28489,41905,22461,25772,31121,12032,35404,36357,42217,8564,26,5,
326,"Bay County, Michigan",5.6,5.6,8.4,19606,48862,53450,67763,12.3,42429,16.5,21661,2.4,46132,15.2,11.5,12.4,32247,17.1,45693,21119,26240,18761,30475,50293,63233,46637,37297,26532,37858,50345,35471,27169,20104,11637,-666666666,50505,10383,26,17,
327,"Berrien County, Michigan",10.7,10.7,7.6,21323,69562,29955,66153,9.3,31798,15.3,21250,3,31750,11.1,13.6,12.7,35668,18.9,67857,22865,40221,10733,31150,72086,62077,51870,67204,26210,41884,22494,25038,16480,16573,22350,52135,82556,13326,26,21,
328,"Calhoun County, Michigan",6.6,6.6,7,27864,85189,48587,80072,11.7,27030,17.2,14764,3.5,32190,12,12.2,11.7,36454,20.3,67397,20818,27292,15668,30135,63241,57183,48828,66222,26702,45374,41010,22190,12027,20270,10982,39074,-666666666,11678,26,25,
329,"Clinton County, Michigan",12.2,12.2,11.6,19051,102143,50856,9962,7.4,45606,14.3,51444,3.9,31616,12.6,20.9,11.6,21607,15.7,67198,31012,35760,11774,36845,62177,61433,50739,66724,30858,42537,43767,23513,27768,17500,20841,25735,46065,9350,26,37,
330,"Eaton County, Michigan",9.2,9.2,9.7,26548,52308,47939,71452,8.7,35826,12.4,27004,5.5,31724,15.8,16,13.5,36746,16.7,67315,28850,27077,11439,34063,62086,65233,52023,66680,29346,39805,30671,26846,9754,14832,40569,53339,41757,8928,26,45,
331,"Genesee County, Michigan",7.6,7.6,7.5,21341,76075,44331,41100,9.9,32845,15,31299,3.4,33933,12.2,13.2,11.6,27377,18.7,63333,21517,38125,14074,30424,60120,56381,50145,57500,25814,40471,35951,21120,24445,13765,9000,60186,80878,11917,26,49,
